id,first_name,last_name,yearly_income,credit_score,dti_ratio,age
597,Misha,Beeze,40950,417,1.77,74
598,Arlie,Phidgin,59085,519,3.93,52
599,Isabelita,Heighton,68249,805,0.02,53
600,Caralie,Maus,41718,755,8.97,41
601,Celene,Tufts,53119,356,1.31,77
602,Andra,Selwyn,53382,352,4.52,45
603,Berthe,Argrave,43492,759,2.38,78
604,Ilse,Shalliker,48616,646,7.05,46
605,Gayle,Andrick,41528,847,3.47,42
606,Margie,Knibley,69878,313,8.57,48
607,Crysta,Goulbourne,58382,838,5.67,78
608,Nikaniki,Nixon,45240,417,2.34,28
609,Albertine,Rankling,43037,781,4.31,41
610,Candi,Flaherty,54928,675,3.03,32
611,Kerr,Haberjam,36147,329,7.36,37
612,Alick,Jolliman,61028,777,4.55,38
613,Sander,Parkeson,54592,687,4.96,45
614,Lurline,Loynton,43450,303,2.98,24
615,Ludwig,Sharnock,50246,384,1.57,64
616,Leese,Firmin,31836,493,9.69,27
617,Mar,Ashwell,42573,687,8.82,23
618,Chauncey,Foulser,49947,440,2.56,27
619,Perri,Durward,60008,839,3.82,68
620,Benny,Coogan,40349,820,7.77,58
621,Janessa,Hiscocks,59719,506,6.25,51
622,Robbie,Reside,40465,493,8.46,34
623,Eada,Schanke,49968,329,4.18,52
624,Gwenore,Casson,28929,819,7.66,52
625,Kirsteni,Gecke,22507,770,3.15,59
626,Lemmy,Ferrettino,46046,357,5.0,19
627,Hermione,McKelvey,48640,420,4.8,76
628,Creigh,Coyish,56111,447,7.22,65
629,Wilbert,Batman,56945,536,6.05,80
630,Philis,Syers,48184,404,5.44,53
631,Judah,Neggrini,49271,807,8.21,60
632,Maxie,Conrath,35795,636,0.54,62
633,Chloris,Bardnam,38153,822,8.76,61
634,Sigismond,Checchi,48455,502,4.2,42
635,Carilyn,Standingford,48170,776,1.56,48
636,Clementia,Reckhouse,36622,806,9.19,40
637,Regina,Olander,48366,594,9.9,66
638,Vyky,Cudde,36860,609,1.44,74
639,Daphne,Charlot,42705,416,8.5,40
640,Yasmeen,Kording,23400,599,3.13,65
641,Siffre,Leeuwerink,44226,410,4.81,76
642,Colan,Veillard,37915,707,4.86,60
643,Travus,Larwell,58549,771,6.56,38
644,Roger,Lampke,23251,463,2.61,67
645,Billi,Beig,30265,505,4.04,38
646,Garrett,Broomhead,51814,492,9.4,80
647,Tomlin,Knewstubb,28190,348,3.89,72
648,Alastair,Landreth,46834,819,5.11,31
649,Kimberlee,Sydes,31567,531,0.39,50
650,Frank,Olivier,26906,640,5.2,28
651,Asher,Saile,33129,629,6.8,66
652,Sauveur,Counsell,47381,444,2.66,43
653,Fairfax,Bootherstone,53853,771,8.09,78
654,Jo,Lawfull,28168,828,6.76,72
655,Hayyim,Comley,45935,696,6.45,24
656,Lyndell,McKinn,43384,701,9.65,25
657,Frazier,Kingsmill,36559,464,6.59,25
658,Ely,Wellstead,54108,436,8.6,70
659,Martita,Darlison,31257,377,7.58,72
660,Carole,Sivill,48507,393,1.99,21
661,Rodrique,Steffens,47544,322,7.69,43
662,Amabelle,Sogg,45779,305,3.5,51
663,Paxon,Janous,40018,684,6.51,56
664,Adam,Walby,51650,460,8.08,72
665,Gan,Poland,32408,826,7.08,73
666,Rakel,Matura,43284,701,7.03,42
667,Ilene,Moores,39953,814,1.86,28
668,Sharai,Sawkins,51322,376,0.72,47
669,Kaitlyn,Riehm,27726,347,3.03,25
670,Yuri,Olsen,52218,766,1.46,71
671,Kiri,Soltan,48385,749,1.04,74
672,Mischa,Briers,48973,487,6.92,50
673,Callean,Lotterington,47767,713,7.91,20
674,Beulah,Brehaut,31433,428,7.0,66
675,Cyrus,Detheridge,42067,398,2.44,52
676,Abra,Tidd,44523,579,5.79,61
677,Inglis,Albrooke,46050,540,8.19,42
678,Codi,Kermannes,59183,832,2.41,71
679,Liam,Wavell,47508,578,0.06,20
680,Julissa,Itscowicz,33490,605,4.42,40
681,Thacher,Colebourne,45755,739,3.2,62
682,Marika,Sheach,65587,327,1.99,69
683,Barbette,Pinnington,44810,352,3.89,30
684,Laurice,Sandbach,45976,711,3.4,38
685,Leupold,Scough,46651,605,8.46,46
686,Lissi,Pegram,55745,692,2.2,77
687,Celinka,Meekings,38027,350,7.12,18
688,Yorker,Gudde,42771,835,7.25,52
689,Solly,Rablen,52582,550,8.76,72
690,Burr,Gronow,58045,658,5.75,20
691,Monique,Batistelli,37093,832,7.15,67
692,Madelyn,Greenman,40637,321,6.87,42
693,Selma,Saggs,60931,718,2.81,38
694,Elfrida,Diack,38900,793,6.27,63
695,Randell,Alesin,23402,738,9.87,79
696,Sebastien,Volkers,55273,751,3.02,39
697,Kenna,Lovatt,54511,421,5.23,52
698,Willard,Keaves,44103,622,1.97,33
699,Brandy,Esposito,29824,663,6.81,32
700,Leela,Bielfeld,33628,627,5.95,27
701,Tana,Kobierzycki,34422,406,6.22,66
702,Selia,Limmer,64139,791,9.47,59
703,Gloriana,Cristol,45992,757,6.15,48
704,Heida,Jupp,41970,349,5.31,56
705,Madlen,McSherry,67813,727,0.58,43
706,Meridith,Standeven,44632,497,6.54,25
707,Philipa,Shevlane,46662,476,1.12,20
708,Stepha,Ciccarello,36891,326,7.46,19
709,Hugibert,Mosen,53143,354,3.84,43
710,Armando,Buzek,55591,462,8.64,20
711,Cornelia,Bourne,42757,337,0.44,49
712,Kristos,Bannell,31350,572,3.55,42
713,Lem,Lapides,52018,449,9.63,43
714,Shir,Cockland,45306,546,4.9,19
715,Garry,Dashkov,44895,622,4.64,37
716,Julee,Dafydd,30370,770,2.54,44
717,Eirena,Kalkhoven,69673,369,5.48,25
718,Jodi,Scorah,34219,794,1.5,51
719,Ora,Innocent,44984,762,7.95,39
720,Clarence,Jzak,32998,704,4.43,70
721,Ciro,Pilsbury,40286,474,9.8,36
722,Lethia,Erbe,46331,334,7.48,76
723,Gilda,Dilnot,19750,350,8.3,29
724,Dolly,Turfes,54664,379,2.98,76
725,Retha,Owthwaite,37232,606,1.04,51
726,Rozalie,Burge,45141,636,1.05,59
727,Radcliffe,Maxfield,28573,841,9.62,51
728,Atlante,Malins,56077,606,4.81,28
729,Tildi,Bullent,46291,426,8.87,58
730,Jenelle,Dzenisenka,60785,818,8.84,77
731,Mano,Hankey,27780,479,0.69,25
732,Novelia,Caitlin,39142,522,3.2,33
733,Sula,Sigge,31241,723,2.79,77
734,Marv,Linnett,40282,410,9.35,40
735,Averell,Rotlauf,52916,668,2.17,40
736,Ailee,Androletti,52451,752,0.45,71
737,Didi,Goldman,47645,744,9.7,39
738,Griffie,Ruppelin,41020,712,0.94,44
739,Francklyn,Grigsby,33029,481,4.47,69
740,Carling,Mattea,53022,392,7.76,66
741,Shena,Wickins,40564,622,5.66,61
742,Emiline,Albiston,31008,370,9.84,24
743,Helyn,Swenson,26421,469,3.18,40
744,Lisle,Heavyside,60639,679,2.01,19
745,Helsa,Lamke,31585,714,9.17,78
746,Thomasine,Maxsted,42418,647,3.0,27
747,Lorrayne,Rackstraw,48591,614,5.39,27
748,Rosemonde,Clue,51449,686,8.2,44
749,Chrissie,Crady,59916,490,0.92,21
750,Andy,Keavy,56984,309,8.89,71
751,Alaine,Wanklin,45248,405,9.26,77
752,Rickie,Durbin,39677,766,3.67,53
753,Isis,Handke,32236,603,4.86,74
754,Nicoli,Wellstead,53445,304,0.04,20
755,Audi,Fitchett,46482,651,8.75,59
756,Estrella,Shearn,31494,585,7.99,77
757,Jayson,Raffels,51658,379,3.01,19
758,Kessia,Subhan,51699,546,3.02,34
759,Killie,O'Corhane,30035,468,7.69,74
760,Stephanus,Odda,57198,612,2.78,42
761,Roch,Tinner,45544,801,0.3,24
762,Andria,Huygens,44936,448,6.77,21
763,Flory,Enderle,33577,690,2.61,20
764,Burty,Jiricka,54488,536,9.52,77
765,Anna,Jent,46489,597,9.16,40
766,Orson,McTurk,49261,586,5.54,51
767,Chip,Brunelli,65076,461,2.34,76
768,Elly,Jeakins,52764,385,0.29,35
769,Viviene,Lechmere,55234,840,3.94,79
770,Mickie,Neesam,30644,317,3.4,60
771,Clio,Jerams,58819,423,7.24,35
772,Jared,Fenkel,26976,465,2.87,31
773,Constantine,Habbijam,56518,532,0.02,38
774,Austina,Thomazin,41008,764,1.93,68
775,Godfry,Haddleston,58097,803,9.19,49
776,Evvy,Ritchie,59295,476,6.38,44
777,Dani,Schoolcroft,37563,716,6.86,39
778,Thomasin,Lazenbury,24823,616,5.39,78
779,Germain,O'Crevy,43961,488,8.16,52
780,Katherina,Kalkhoven,54406,773,5.68,64
781,Sile,Hyland,42599,730,4.94,18
782,Lorain,Benoit,37662,692,1.73,70
783,Shelton,Turford,50349,689,9.7,78
784,Gardner,Aspenlon,33931,765,4.14,66
785,Shandeigh,Coleshill,36028,365,1.8,45
786,Betsy,Clayfield,48092,776,4.11,74
787,Gert,Breede,37607,450,8.34,75
788,Waverley,Persian,35365,811,8.15,78
789,Annette,Ainger,47817,376,5.36,35
790,Sibeal,Ioselevich,45683,561,3.55,75
791,Nicholas,Doncom,36358,307,0.11,41
792,Fowler,Lambal,36242,469,0.08,74
793,Marco,Walaron,43187,504,8.3,46
794,Giles,Sigart,27591,399,2.75,35
795,Hashim,Ughi,47563,655,8.14,74
796,Sheffy,Halloran,39101,726,9.57,24
797,Abelard,Lydiard,54854,449,0.14,57
798,Ruddie,McAuslan,54304,450,2.27,20
799,Thom,Saint,51646,680,2.49,73
800,Layney,Magrannell,66675,594,9.3,25
801,Curr,Meyer,37687,734,0.64,48
802,Amelie,Lyptrit,66486,820,8.05,59
803,Melloney,Lezemere,25015,712,6.73,42
804,Brander,Giacomuzzi,31738,626,0.21,34
805,Laird,Pope,47889,822,2.32,32
806,Cart,Dicey,45481,491,4.21,53
807,Georgia,Austwick,34356,381,4.67,66
808,Shane,Cockarill,45115,847,1.27,57
809,Arlyne,Stancliffe,60292,380,8.47,63
810,Blakeley,Tiernan,69038,569,0.86,65
811,Roger,Philpott,66660,371,5.04,41
812,Raviv,Mather,52637,814,2.8,52
813,Maurizia,Pyper,51808,402,3.6,60
814,Edward,Cleeton,45440,538,2.45,21
815,Malva,Freed,34991,712,5.48,18
816,Axel,MacFie,51197,548,0.17,23
817,Kaela,Skarman,42635,615,2.22,65
818,Ephrem,Cobbe,44376,514,3.92,44
819,Wilmette,Sherland,53812,476,6.47,74
820,Nickolai,Mewitt,34627,530,0.66,35
821,Duncan,McCafferty,36377,807,4.8,76
822,Marty,Dartnall,60165,585,5.87,32
823,Nerte,Chaise,31980,741,0.58,70
824,Garfield,Towe,57542,414,2.12,69
825,Rodi,Swin,36045,458,4.53,48
826,Larry,McShirrie,42880,432,6.8,49
827,Derrek,Swallow,39917,375,8.2,47
828,Charity,Rippingale,60352,701,8.39,62
829,Mercie,Stichall,59507,595,6.46,63
830,Bari,Getty,42721,414,4.63,46
831,Marlee,Ziehm,53907,334,6.58,48
832,Rosalie,Cudbird,50140,489,8.76,80
833,Jen,Bandiera,28660,850,8.19,37
834,Halley,Lindgren,38845,649,8.8,75
835,Jordan,Daburn,50439,514,9.08,32
836,Syd,Goldring,25472,605,3.57,46
837,Shayne,Gilfoy,39274,718,7.31,74
838,Dud,Backhouse,53516,374,0.31,30
839,Laurel,Ladyman,28967,397,2.87,48
840,Dominga,Sambell,39782,436,6.38,27
841,Carolyne,Lackham,43719,355,4.2,65
842,Austin,Pickthorn,41853,812,7.84,53
843,Adelle,Depke,38402,463,9.21,50
844,Horace,Dayley,58134,524,0.86,33
845,Selma,Caddies,48465,427,7.0,24
846,Phyllida,McGinnell,45174,673,2.17,56
847,Toddy,Stock,37255,806,3.48,27
848,Seana,Clemetts,34951,764,3.39,75
849,Rhetta,Mosdell,57570,645,7.05,70
850,Kitty,Huertas,44665,436,3.34,44
851,Jacquetta,Learmount,43021,827,0.66,35
852,Essa,Bergen,31580,729,1.66,76
853,Maximilien,Doelle,44242,730,9.98,34
854,Letisha,Edmondson,68884,356,5.25,51
855,Dita,Kalinsky,55863,376,6.25,65
856,Dorena,Ridge,56715,375,7.96,71
857,Noemi,Yegorkin,52431,399,5.19,37
858,Nerty,Beatey,70383,579,4.25,23
859,Milo,Boydon,43512,717,5.15,29
860,Brinn,Aronowicz,57028,612,8.41,62
861,Deane,Brosch,54794,544,0.22,44
862,Corny,Scarth,42555,621,5.32,23
863,Marlane,Trusse,35214,450,5.36,51
864,Helen,Dondon,46128,651,4.38,38
865,Ulrika,Klich,46151,563,1.93,40
866,Danila,Stock,51004,633,9.52,67
867,Lyndell,Eberz,48714,774,2.09,36
868,Isidoro,Oakey,38852,382,6.48,22
869,Fionnula,Matzen,44164,734,3.02,57
870,Helenka,Eldritt,41480,719,1.57,59
871,Joana,Balaizot,54184,364,9.28,69
872,Gwenni,Gillford,61242,734,0.97,61
873,Kiel,Fazzioli,37471,526,2.08,32
874,Kin,Darko,37955,391,9.67,49
875,Bernice,Harrowing,41064,439,4.79,38
876,Allyn,Leyes,54340,593,7.4,72
877,Brita,Outright,30105,657,3.2,34
878,Thea,Attoc,46679,573,3.75,61
879,Pincas,Fransoni,46027,485,5.2,23
880,Mallorie,Wescott,40819,699,2.14,64
881,Gill,Eisenberg,29982,416,5.11,75
882,Sibylle,Rollitt,43608,836,0.46,54
883,Harmony,Denyukin,42063,651,7.68,49
884,Gladys,Bonar,34017,449,6.09,77
885,Dannel,Fasham,46617,495,2.73,25
886,Stanley,Kyteley,49360,723,6.55,68
887,Nedda,Maffioletti,54999,406,1.65,56
888,Crista,Spore,43478,766,3.54,29
889,Aveline,Hercules,47842,330,7.14,76
890,Curry,Garron,46551,541,0.46,52
891,Gerda,McCrone,43196,499,5.07,44
892,Bendicty,Pledge,57302,759,1.93,36
893,Ugo,Yerrill,33747,672,3.78,42
894,Gerta,Gamble,49392,350,6.34,62
895,Leonore,Weald,32269,325,9.38,25
896,Mel,Gregh,39137,474,7.69,42
897,Matilda,Markie,48654,440,5.04,47
898,Bethanne,Malenfant,51924,822,3.72,36
899,Nerta,Mourgue,36026,373,4.78,58
900,Lilla,Tschiersch,44924,409,8.92,39
901,Darcie,Malec,47308,610,9.95,30
902,Vincent,Sperring,41658,365,0.81,63
903,Salvador,Mandrier,47028,666,4.88,31
904,Benedick,Gronaver,41107,760,7.3,69
905,Lorianna,Kirgan,50753,652,0.2,45
906,Camella,Legon,49543,523,0.45,36
907,Leeland,Bew,31835,606,5.29,40
908,Onfroi,Rispine,51171,582,3.8,52
909,Kellie,Shercliff,51255,431,6.42,76
910,Chloris,Gergler,54272,639,1.3,53
911,Laurie,Gulberg,50873,701,8.26,47
912,Annamarie,Drury,52675,833,1.93,36
913,Patsy,Schruur,42134,789,3.63,71
914,Lana,Chatto,49244,356,5.96,22
915,Hashim,Parncutt,30738,405,7.95,59
916,Mendy,Cottie,49797,574,1.29,20
917,Claiborn,Hatherill,38909,562,7.49,63
918,Desiri,Greenleaf,54050,517,2.7,56
919,Ezequiel,Renne,32773,834,3.7,57
920,Sheff,Alessandrini,49256,356,8.2,21
921,Skye,Daingerfield,49691,361,9.83,40
922,Daven,aManger,31312,512,2.59,19
923,Monro,Sworne,50542,739,5.48,24
924,Casi,Priddy,51232,366,0.65,42
925,Ahmed,Yannoni,44928,401,3.04,67
926,Hale,Nanetti,46317,599,4.27,75
927,Asia,Kynge,28724,519,6.4,60
928,Katharine,Ferrolli,55910,311,8.41,58
929,Becca,Berryman,52581,769,4.5,41
930,Fabien,Lent,57207,706,9.7,20
931,Dedie,Martinho,56027,410,7.0,30
932,Krispin,Blackett,58751,387,6.59,70
933,Tomlin,Ridings,31412,749,8.24,27
934,Peggy,Fairholme,29723,328,9.41,68
935,Bobbi,Le Gassick,40218,571,6.07,64
936,Karena,Selburn,60860,838,0.22,71
937,Oriana,Fowlds,55850,507,1.19,71
938,Pasquale,Sonnenschein,32422,312,6.05,20
939,Willa,McGahy,47340,694,6.65,43
940,Adore,MacCaull,54804,763,2.5,25
941,Vanya,Gridon,46271,445,3.6,28
942,Pier,Kiss,44769,655,8.52,39
943,Willow,Heatherington,40253,569,1.62,61
944,Raoul,Allwood,48310,827,7.79,54
945,Keir,Rosenblum,30808,321,5.28,19
946,Tracee,Sherwen,54725,304,4.61,40
947,Merci,Ilson,56651,833,4.05,62
948,Jo ann,Fonquernie,56932,400,1.12,35
949,Iseabal,Aldhous,50366,363,9.08,41
950,Eliza,Darleston,57162,513,5.4,74
951,Madelon,Bordiss,65362,694,3.41,76
952,Whitney,Dragonette,42560,414,0.6,73
953,Jacob,Gullen,35398,559,2.34,43
954,Jedidiah,Pencot,49273,551,8.74,31
955,Wilton,Knevett,41065,356,9.32,42
956,Jarret,Barkworth,39735,602,2.75,62
957,Clarissa,Pothergill,47013,779,8.11,21
958,Stephana,Ayre,37340,311,3.12,63
959,Rand,Pingstone,44937,735,3.36,52
960,Jayme,Daymond,56414,589,9.99,35
961,Matilde,Odeson,37301,337,1.75,30
962,Fax,Danielski,36533,618,4.4,65
963,Troy,Abramovici,34249,444,6.99,19
964,Zelma,Fransemai,57637,833,4.21,51
965,Hamil,Boken,41859,766,9.26,72
966,Belia,Ferentz,48951,548,7.17,53
967,Darryl,Poulsom,55297,308,8.65,45
968,Lemmie,Nornasell,50027,333,0.99,55
969,Kenton,Pimlott,36435,346,3.67,69
970,Gardner,MacTrustam,41622,722,2.55,77
971,Raymund,Wornum,51290,580,7.69,49
972,Genni,Eckersall,50858,496,8.42,21
973,Kynthia,Simmon,50895,385,9.14,43
974,Doria,Yedall,35601,633,0.12,80
975,Honoria,Arens,48089,642,4.83,78
976,Bonny,Mosdell,43939,626,6.63,70
977,Lanie,Nazareth,42818,587,6.63,77
978,Leoline,Bentham,32138,533,7.96,50
979,Clemmie,Whaplington,47593,456,9.48,33
980,Luther,Cruft,81757,307,9.32,33
981,Ware,Tiley,55359,492,9.97,29
982,Baxie,Sprott,48117,461,1.09,35
983,Nichole,Napthine,35039,725,3.21,72
984,Gretta,Stitson,40864,827,0.41,43
985,Noami,Lorant,30643,429,6.69,49
986,Sadie,Barz,37988,431,7.1,69
987,Ervin,Ferreres,48745,402,4.66,78
988,Rogerio,Coche,34998,718,4.49,71
989,Marquita,Latter,38075,694,2.51,47
990,Tait,Scutts,55969,513,7.19,27
991,Boyd,Snooks,58766,523,3.33,41
992,Creighton,Leber,22990,624,7.34,57
993,Quill,Nice,50607,532,0.72,31
994,Cheston,Battson,48479,806,6.89,68
995,Alexis,Longea,49446,811,5.11,44
996,Betty,Cardillo,48391,653,4.86,20
997,Sidney,Davydoch,48335,577,4.31,21
998,Freddy,Postans,37616,506,1.26,53
999,Thorin,Annable,49307,799,1.07,65
1000,Isaiah,Vicary,41215,366,3.86,59
